Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
South Carolina,US,7/28/2020,34.22333378,-82.46170658,269,6,0,263,0
Louisiana,US,7/28/2020,30.2950649,-92.41419698,2229,65,0,2164,0
Virginia,US,7/28/2020,37.76707161,-75.63234615,1069,15,0,1054,0
Idaho,US,7/28/2020,43.4526575,-116.24155159999998,7378,50,0,7328,0
Iowa,US,7/28/2020,41.33075609,-94.47105874,20,0,0,20,0
Kentucky,US,7/28/2020,37.10459774,-85.28129668,185,19,0,166,0
Missouri,US,7/28/2020,40.19058551,-92.60078167,123,0,0,123,0
Oklahoma,US,7/28/2020,35.88494195,-94.65859267,266,5,0,261,0
Colorado,US,7/28/2020,39.87432092,-104.3362578,5713,168,0,5545,0
Idaho,US,7/28/2020,44.89333571,-116.4545247,17,0,0,17,0
Illinois,US,7/28/2020,39.98815591,-91.18786813,355,1,0,354,0
Indiana,US,7/28/2020,40.7457653,-84.93671406,73,1,0,72,0
Iowa,US,7/28/2020,41.02903567,-94.69932645,13,0,0,13,0
Mississippi,US,7/28/2020,31.47669768,-91.35326037,531,23,0,508,0
Nebraska,US,7/28/2020,40.52449420000001,-98.50117804,329,11,0,318,0
North Dakota,US,7/28/2020,46.09686891,-102.5285397,2,0,0,2,0
Ohio,US,7/28/2020,38.84541072,-83.4718964,48,2,0,46,0
Pennsylvania,US,7/28/2020,39.87140411,-77.21610347,448,18,0,430,0
Washington,US,7/28/2020,46.98299757,-118.56017340000001,368,2,0,366,0
Wisconsin,US,7/28/2020,43.96974651,-89.76782777,64,2,0,62,0
Vermont,US,7/28/2020,44.03217337,-73.14130877,71,2,0,69,0
Puerto Rico,US,7/28/2020,18.180117000000006,-66.754367,77,0,0,77,0
Puerto Rico,US,7/28/2020,18.360255,-67.17513100000001,95,0,0,95,0
Puerto Rico,US,7/28/2020,18.459681,-67.12081500000001,160,0,0,160,0
Puerto Rico,US,7/28/2020,18.251619,-66.126806,97,0,0,97,0
Puerto Rico,US,7/28/2020,18.131361,-66.264131,71,0,0,71,0
South Carolina,US,7/28/2020,33.54338026,-81.63645384,1355,23,0,1332,0
Minnesota,US,7/28/2020,46.60962049,-93.41168259999999,25,0,0,25,0
Florida,US,7/28/2020,29.67866525,-82.35928158,3297,20,0,3277,0
North Carolina,US,7/28/2020,36.0434701,-79.39976137,2029,41,0,1988,0
California,US,7/28/2020,37.64629437,-121.8929271,10633,181,0,10452,0
Colorado,US,7/28/2020,37.57250606,-105.7885451,221,8,0,213,0
New York,US,7/28/2020,42.60060306,-73.97723916,2468,124,0,2344,0
Wyoming,US,7/28/2020,41.65498705,-105.72354150000001,78,0,0,78,0
Virginia,US,7/28/2020,38.02080697,-78.55481085,723,10,0,713,0
Michigan,US,7/28/2020,44.6846864,-83.59507875,27,1,0,26,0
Mississippi,US,7/28/2020,34.88084463,-88.57996173,305,3,0,302,0
Alaska,US,7/28/2020,55.32222414,-161.9722021,1,0,0,1,0
Alaska,US,7/28/2020,52.3233,-174.1596,3,0,0,3,0
Illinois,US,7/28/2020,37.18049267,-89.32910838,35,0,0,35,0
North Carolina,US,7/28/2020,35.922379600000006,-81.17751948,258,2,0,256,0
Virginia,US,7/28/2020,38.814003,-77.08183073,2749,57,0,2692,0
Oklahoma,US,7/28/2020,36.73090616,-98.32408495,3,0,0,3,0
Michigan,US,7/28/2020,46.41292944,-86.60260122,5,0,0,5,0
Iowa,US,7/28/2020,43.28383218,-91.37860922,145,4,0,141,0
Michigan,US,7/28/2020,42.59147037,-85.89102866,477,7,0,470,0
Maryland,US,7/28/2020,39.62357628,-78.69280486,262,18,0,244,0
New York,US,7/28/2020,42.25748406,-78.02750466,74,1,0,73,0
North Carolina,US,7/28/2020,36.49360862,-81.12857041,63,0,0,63,0
Virginia,US,7/28/2020,37.78636074,-80.00222498,57,2,0,55,0
Pennsylvania,US,7/28/2020,40.46809875,-79.98167747,7593,223,0,7370,0
Indiana,US,7/28/2020,41.09194313,-85.06800636,3416,155,0,3261,0
Kansas,US,7/28/2020,37.88582951,-95.30030847,14,0,0,14,0
Kentucky,US,7/28/2020,36.75197631,-86.19457544,212,8,0,204,0
Louisiana,US,7/28/2020,30.65385745,-92.82442028,1001,17,0,984,0
Ohio,US,7/28/2020,40.77285242,-84.10802343,571,41,0,530,0
South Carolina,US,7/28/2020,32.98837386,-81.35321066,159,3,0,156,0
Michigan,US,7/28/2020,45.03477666,-83.62212411,125,13,0,112,0
California,US,7/28/2020,38.59678594,-119.82235940000001,2,0,0,2,0
California,US,7/28/2020,38.44583082,-120.65696000000001,84,0,0,84,0
Virginia,US,7/28/2020,37.34081025,-77.98584649,71,1,0,70,0
Virginia,US,7/28/2020,37.60308293,-79.14548696,92,0,0,92,0
Mississippi,US,7/28/2020,31.17467303,-90.80501621,181,4,0,177,0
Puerto Rico,US,7/28/2020,18.287985,-67.120611,105,0,0,105,0
Alaska,US,7/28/2020,61.14998174,-149.14269860000005,1482,9,0,1473,0
Kansas,US,7/28/2020,38.21413251,-95.29272815,26,0,0,26,0
Kentucky,US,7/28/2020,38.00671029,-84.99171713,53,1,0,52,0
South Carolina,US,7/28/2020,34.51828081,-82.63959517,1793,40,0,1753,0
Tennessee,US,7/28/2020,36.12684348,-84.19965764,500,4,0,496,0
Texas,US,7/28/2020,31.81534745,-95.65354823,2162,8,0,2154,0
Missouri,US,7/28/2020,39.98492163,-94.80163024,78,1,0,77,0
Texas,US,7/28/2020,32.30468633,-102.63765479999999,232,5,0,227,0
Maine,US,7/28/2020,44.1664747,-70.20380627,544,6,0,538,0
Texas,US,7/28/2020,31.25457347,-94.60901487,1487,31,0,1456,0
Maryland,US,7/28/2020,39.00670238,-76.60329337,6537,214,0,6323,0
Minnesota,US,7/28/2020,45.27476015,-93.24604565,3083,112,0,2971,0
North Carolina,US,7/28/2020,34.97403241,-80.09953279,292,2,0,290,0
Nebraska,US,7/28/2020,42.17695516,-98.06662829999999,18,1,0,17,0
Michigan,US,7/28/2020,44.99690221,-85.15503082,35,0,0,35,0
Arizona,US,7/28/2020,35.39465006,-109.4892383,2945,128,0,2817,0
Iowa,US,7/28/2020,40.74324454,-92.86865906,36,3,0,33,0
Georgia,US,7/28/2020,31.74847232,-82.28909114,518,16,0,502,0
Virginia,US,7/28/2020,37.37569884,-78.81340003,63,0,0,63,0
Texas,US,7/28/2020,28.10556197,-96.9995047,135,7,0,128,0
Colorado,US,7/28/2020,39.64977461,-104.3353617,6691,362,0,6329,0
Texas,US,7/28/2020,33.61569967,-98.68754589,15,0,0,15,0
Colorado,US,7/28/2020,37.19474156,-107.0476867,32,0,0,32,0
Puerto Rico,US,7/28/2020,18.406631,-66.675077,229,0,0,229,0
Michigan,US,7/28/2020,44.0636262,-83.89277559,40,3,0,37,0
Arkansas,US,7/28/2020,34.29145151,-91.37277296,172,1,0,171,0
Virginia,US,7/28/2020,38.8767675,-77.10139853,2843,135,0,2708,0
Pennsylvania,US,7/28/2020,40.81665618,-79.46290811,169,6,0,163,0
Texas,US,7/28/2020,34.96507426,-101.35748740000001,5,0,0,5,0
Maine,US,7/28/2020,46.65926321,-68.59841248,31,1,0,30,0
Puerto Rico,US,7/28/2020,17.998457000000005,-66.056546,71,0,0,71,0
Nebraska,US,7/28/2020,41.56896142,-101.6959559,0,0,0,0,0
Louisiana,US,7/28/2020,30.20406249,-90.91328409999998,2357,65,0,2292,0
North Carolina,US,7/28/2020,36.43296207,-81.49862729,99,1,0,98,0
Ohio,US,7/28/2020,40.84772277,-82.27280781,118,4,0,114,0
Wisconsin,US,7/28/2020,46.31956891,-90.67837132,15,0,0,15,0
