Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
Maine,US,6/13/2020,46.65926321,-68.59841248,10,1,0,9,0
Nebraska,US,6/13/2020,41.56896142,-101.6959559,0,0,0,0,0
Louisiana,US,6/13/2020,30.20406249,-90.91328409999998,931,58,0,873,0
North Carolina,US,6/13/2020,36.43296207,-81.49862729,43,1,0,42,0
Ohio,US,6/13/2020,40.84772277,-82.27280781,28,0,0,28,0
Wisconsin,US,6/13/2020,46.31956891,-90.67837132,3,0,0,3,0
Arkansas,US,6/13/2020,33.19153461,-91.76984709999999,40,1,0,39,0
Ohio,US,6/13/2020,41.70860332,-80.74830218,382,39,0,343,0
Washington,US,6/13/2020,46.18894415,-117.2022851,20,2,0,18,0
Louisiana,US,6/13/2020,29.89946234,-91.06461642,263,14,0,249,0
Texas,US,6/13/2020,28.89333001,-98.52730485,42,2,0,40,0
Kansas,US,6/13/2020,39.53185661,-95.30870026,26,0,0,26,0
Missouri,US,6/13/2020,40.43238737,-95.42970639,3,0,0,3,0
Ohio,US,6/13/2020,39.33425634,-82.04278644,23,1,0,22,0
Georgia,US,6/13/2020,31.29633502,-82.87545866,70,2,0,68,0
New Jersey,US,6/13/2020,39.47538693,-74.65848483,2475,179,0,2296,0
Oklahoma,US,6/13/2020,34.37366573,-96.03802487,8,0,0,8,0
Mississippi,US,6/13/2020,33.08658803,-89.57838564,328,23,0,305,0
Missouri,US,6/13/2020,39.215877,-91.84242683,122,1,0,121,0
Iowa,US,6/13/2020,41.6844628,-94.90581859,13,1,0,12,0
Ohio,US,6/13/2020,40.55998859,-84.22421429999999,84,3,0,81,0
Virginia,US,6/13/2020,38.16404586,-79.12461614,143,2,0,141,0
South Dakota,US,6/13/2020,43.71757685,-98.56050467,33,0,0,33,0
Texas,US,6/13/2020,29.88548725,-96.27736949,34,0,0,34,0
Alabama,US,6/13/2020,32.53952745,-86.64408227,331,6,0,325,0
North Carolina,US,6/13/2020,36.07569796,-81.92308483,6,0,0,6,0
Louisiana,US,6/13/2020,31.07796211,-92.00079449,184,9,0,175,0
Colorado,US,6/13/2020,37.31940883,-102.5603223,12,0,0,12,0
Georgia,US,6/13/2020,31.55456473,-82.45936528,174,3,0,171,0
Texas,US,6/13/2020,34.06854817,-102.8299707,34,0,0,34,0
Florida,US,6/13/2020,30.33060121,-82.28467476,30,4,0,26,0
Georgia,US,6/13/2020,31.32669878,-84.44218806,37,3,0,34,0
Oregon,US,6/13/2020,44.70915557,-117.6749883,1,0,0,1,0
Alabama,US,6/13/2020,30.72774991,-87.72207058,361,9,0,352,0
Georgia,US,6/13/2020,33.06882326,-83.24701748,423,31,0,392,0
Kentucky,US,6/13/2020,37.05842757,-88.99427697,14,0,0,14,0
Maryland,US,6/13/2020,39.45784712,-76.62911955,7107,416,0,6691,0
Maryland,US,6/13/2020,39.30211911,-76.61151012,6633,297,0,6336,0
South Carolina,US,6/13/2020,33.21927586,-81.05659969,41,0,0,41,0
Texas,US,6/13/2020,29.74619598,-99.24598147,7,0,0,7,0
Georgia,US,6/13/2020,34.35607081,-83.49644388,108,1,0,107,0
Nebraska,US,6/13/2020,41.54634427,-103.7114332,1,0,0,1,0
Idaho,US,6/13/2020,42.67002716,-112.2233311,59,1,0,58,0
Michigan,US,6/13/2020,46.6720582,-88.36363591,1,0,0,1,0
Kansas,US,6/13/2020,37.2288586,-98.68460053,1,0,0,1,0
Alabama,US,6/13/2020,31.868263,-85.3871286,226,1,0,225,0
West Virginia,US,6/13/2020,39.1307219,-80.00350858,10,1,0,9,0
North Dakota,US,6/13/2020,46.93579637,-98.06605978,9,0,0,9,0
Massachusetts,US,6/13/2020,41.72980578,-70.28854339,1486,128,0,1358,0
South Carolina,US,6/13/2020,33.26679302,-81.43584352,54,1,0,53,0
Kentucky,US,6/13/2020,36.96469836,-85.93338945,65,2,0,63,0
Wisconsin,US,6/13/2020,45.42372701,-91.84833627,24,0,0,24,0
Georgia,US,6/13/2020,33.99148694,-83.71436292,382,23,0,359,0
Michigan,US,6/13/2020,42.59513984,-85.30834519,91,2,0,89,0
Missouri,US,6/13/2020,36.70978521,-93.82919888,10,0,0,10,0
Indiana,US,6/13/2020,39.20744865,-85.89558181,549,41,0,508,0
